id,label,"type(1=animated, 2=live-action)","release(1=cinematic, 2=tv, 3=video)","place(1=hollywood, 2=japan, 3=internationaal)",franchise,year,"age_rating(child=1, teen=2, adult=3)",cc_mc,ac_mc,cc_rt,ac_rt
94,Bayonetta: Bloody Fate,1,1,2,Bayonetta,2013,3,NA,NA,NA,46
95,"Persona 3 The Movie: No. 1, Spring of Birth",1,1,2,Persona 3,2013,3,NA,NA,NA,89
96,The Idolmaster Movie: Kagayaki no Mokogawa e!,1,1,2,Idolmaster,2014,2,NA,NA,NA,NA
97,Pretty Rhythm All-Star Selection: Prism Show Best Ten,1,1,2,Pripara,2014,1,NA,NA,NA,NA
98,"Persona 3 The Movie: No. 2, Midsummer Knight's Dream",1,1,2,Persona 3,2014,3,NA,NA,NA,NA
99,Pokemon the Movie: Diancie and the Cocoon of Destruction,1,1,2,Pokemon,2014,1,NA,NA,NA,57
100,Aikatsu! The Movie,1,1,2,Aikatsu,2014,1,NA,NA,NA,NA
101,"PriPara the Movie: Everyone, Assemble! Prism Tours",1,1,2,Pripara,2015,1,NA,NA,NA,NA
102,"Persona 3 The Movie: No. 3, Falling Down",1,1,2,Persona 3,2015,3,NA,NA,NA,NA
103,Gekijoban Meiji Tokyo Renka: Yumihari no Serenade,1,1,2,Meiji Tokyo Renka,2015,2,NA,NA,NA,NA
104,Pokemon the Movie: Hoopa and the Clash of Ages,1,1,2,Pokemon,2015,1,NA,NA,NA,44
105,Aikatsu! Music Award: Minna de Sho o MoraimaSHOW!,1,1,2,Aikatsu,2015,1,NA,NA,NA,NA
106,"Fly Out, PriPara: Aim for it with Everyone! Idol Frand Prix",1,1,2,Pripara,2016,1,NA,NA,NA,NA
107,King of Prism by Prettyrhythm,1,1,2,Pripara,2016,1,NA,NA,NA,NA
108,"Persona 3 The Movie: No. 4, Winter of Rebirth ",1,1,2,Persona 3,2016,3,NA,NA,NA,NA
109,PriPara Minna no Akogare Let's Go PriPari,1,1,2,Pripara,2016,1,NA,NA,NA,NA
110,Pokemon the Movie: Volcanion and the Mechanical Marvel,1,1,2,Pokemon,2016,1,NA,NA,NA,NA
111,Monster Strike The Movie,1,1,2,Monster Strike,2016,2,NA,NA,NA,NA
112,Yo-kai Watch: Soratobu Kujira to Double no Sekai no Daiboken da Nyan!,1,1,2,Yo-kai Watch,2016,1,NA,NA,NA,NA
113,Resident Evil: Vendetta,1,1,2,Resident Evil,2017,3,NA,6.8,43,47
114,King of Prism: Pride the Hero,1,1,2,Pripara,2017,1,NA,NA,NA,NA
115,Yo-kai Watch Shadowside: Oni-o no Fukkatsu,1,1,2,Yo-kai Watch,2017,1,NA,NA,NA,NA
116,Monster Strike The Movie: Sora no Kanata,1,1,2,Monster Strike,2018,2,NA,NA,NA,NA
117,Yo-Kai Watch: Forever Friends,1,1,2,Yo-kai Watch,2018,1,NA,NA,NA,NA
118,Pokemon: Mewtwo Strikes Back Evolution,1,1,2,Pokemon,2019,1,NA,6.6,44,42
119,Dragon Quest: Your Story,1,2,2,Dragon Quest,2019,1,NA,NA,NA,78
120,Fatal Fury: Legend of the Hungry Wolf,1,2,2,Fatal Fury,1992,2,NA,NA,NA,NA
121,Samurai Shodown: The Motion Picture,1,2,2,Samurai Shodown,1993,2,NA,NA,NA,NA
122,Fatal Fury 2: The New Battle,1,2,2,Fatal Fury,1993,2,NA,NA,NA,NA
123,Art of Fighting,1,2,2,Art of Fighting,1993,2,NA,NA,NA,NA
124,Pokemon: Mewtwo Returns,1,2,2,Pokemon,2000,1,NA,NA,NA,60
